Subject,Session,X,Y,Z,Volumes,Voxel X,Voxel Y,Voxel Z,TR,Echo Time,Echo Number,Flip Angle,Slice Thickness,Phase Encoding,Manufacturer,Scanner Model,Magnetic Field,BOLD Path,JSON Path,Status
sub-19,ses-03,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-19/ses-03/sub-19_ses-03_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-19/ses-03/sub-19_ses-03_task-hand_echo-1_bold.json,Ready
sub-19,ses-01,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-19/ses-01/sub-19_ses-01_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-19/ses-01/sub-19_ses-01_task-hand_echo-1_bold.json,Ready
sub-21,ses-03,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-21/ses-03/sub-21_ses-03_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-21/ses-03/sub-21_ses-03_task-hand_echo-1_bold.json,Ready
sub-21,ses-01,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-21/ses-01/sub-21_ses-01_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-21/ses-01/sub-21_ses-01_task-hand_echo-1_bold.json,Ready
sub-20,ses-02,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-20/ses-02/sub-20_ses-02_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-20/ses-02/sub-20_ses-02_task-hand_echo-1_bold.json,Ready
sub-20,ses-01,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-20/ses-01/sub-20_ses-01_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-20/ses-01/sub-20_ses-01_task-hand_echo-1_bold.json,Ready
sub-18,ses-04,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-18/ses-04/sub-18_ses-04_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-18/ses-04/sub-18_ses-04_task-hand_echo-1_bold.json,Ready
sub-18,ses-03,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-18/ses-03/sub-18_ses-03_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-18/ses-03/sub-18_ses-03_task-hand_echo-1_bold.json,Ready
sub-18,ses-01,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-18/ses-01/sub-18_ses-01_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-18/ses-01/sub-18_ses-01_task-hand_echo-1_bold.json,Ready
sub-05,ses-02,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-05/ses-02/sub-05_ses-02_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-05/ses-02/sub-05_ses-02_task-hand_echo-1_bold.json,Ready
sub-05,ses-04,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-05/ses-04/sub-05_ses-04_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-05/ses-04/sub-05_ses-04_task-hand_echo-1_bold.json,Ready
sub-05,ses-03,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-05/ses-03/sub-05_ses-03_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-05/ses-03/sub-05_ses-03_task-hand_echo-1_bold.json,Ready
sub-02,ses-03,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-02/ses-03/sub-02_ses-03_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-02/ses-03/sub-02_ses-03_task-hand_echo-1_bold.json,Ready
sub-02,ses-01,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-02/ses-01/sub-02_ses-01_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-02/ses-01/sub-02_ses-01_task-hand_echo-1_bold.json,Ready
sub-03,ses-02,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-03/ses-02/sub-03_ses-02_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-03/ses-02/sub-03_ses-02_task-hand_echo-1_bold.json,Ready
sub-03,ses-01,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-03/ses-01/sub-03_ses-01_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-03/ses-01/sub-03_ses-01_task-hand_echo-1_bold.json,Ready
sub-04,ses-02,84,84,52,258,2.5,2.5,2.5,1.5,0.0106,1,70,2.5,j-,Siemens,Prisma_fit,3,/Users/ashvath/fmri-signal-reconstruction/data/sub-04/ses-02/sub-04_ses-02_task-hand_echo-1_bold.nii.gz,/Users/ashvath/fmri-signal-reconstruction/data/sub-04/ses-02/sub-04_ses-02_task-hand_echo-1_bold.json,Ready
